send_date,Audit Date,spbu_no,region,year,address,city_name,tipe_spbu,rayon,audit_level,audit_next,result,Total Score,SSS,EQnQ,RFS,kelas_spbu,penalty_alerts
2026-02-21,2026-02-21,74-91999,VII,2026,"Kel. Lagaligo Kec. Wara , Kota Palopo",Kodya Palopo,,SBM Sulselbar IV Fuel,BOA1,BOA2,NOT CERTIFIED,"81,1","78,33","83,13","81,86",Basic,Produk JBU
2026-02-21,2026-02-21,74-95617,VII,2026,"Jl. Raya Kawangkoan, Kab. Minahasa Induk",Kab. Minahasa Induk,,SBM Sulutgo II Fuel,BOA1,CA,CERTIFIED,"93,92",89,"99,04","93,6",Basic,
2026-02-20,2026-02-20,74-95313,VII,2026,"Jl. Raya Tomohon, Kota Tomohon",Kodya Tomohon,,SBM Sulutgo II Fuel,BOA1,CA,CERTIFIED,"95,27",89,"98,99","97,13",Basic,
2026-02-21,2026-02-20,34-40607,III,2026,Jl. Raya Percobaan - Cileunyi,Kodya Bandung,,SBM Bandung I Fuel,BOA1,CA,CERTIFIED,"94,12",84,"98,99","98,12",Basic,
2026-02-24,2026-02-20,44-52115,IV,2026,Jl. KS Tubun No.14,Kota Tegal,DODO,SBM Tegal I Fuel,BOA1,BOA2,NOT CERTIFIED,"67,43",68,"70,34","64,48",Basic,"DU Dispenser, Pelumas, CCTV, APAR, Izin Prinsip, Masa Berlaku APAR"
2026-02-20,2026-02-20,34-41225,III,2026,Jl. Raya Kaso Malang-Cagak,Kab Subang,DODO,SBM Karawang III Fuel,BOA1,CA,CERTIFIED,"95,08",89,100,"96,05",Basic,
2026-02-21,2026-02-20,74-95605,VII,2026,Jalan Trans Sulawesi Kelurahan Tambala Kecamatan Tombariri,Kab. Minahasa Induk,,SBM Sulutgo II Fuel,BOA1,BOA2,NOT CERTIFIED,"53,83","6,67","84,21","64,72",Basic,"Salam, Masa Berlaku APAR, Produk JBU, Izin Prinsip, Pelumas, Trims, HP, Nol"
2026-02-21,2026-02-20,34-16620,III,2026,Jl. Letnan Sayuti Desa Setu Kec Jasinga Kab. Bogor ,Kab Bogor,DODO,SBM Jabode V Fuel,BOA1,CA,CERTIFIED,"90,65","80,67","98,99","91,86",Basic,
2026-02-21,2026-02-20,54-61270,V,2026,"Jl. Raya Junwangi, Kenep, Junwangi, Kec. Krian",Kabupaten Sidoarjo,,SBM Surabaya II Fuel,BOA1,BOA2,NOT CERTIFIED,"84,98","83,67","91,88","80,8",Basic,Masa Berlaku APAR
2026-02-23,2026-02-20,54-63312,V,2026,Ds. Belotan Kec. Bendo,Kab Magetan,DODO,SBM Kediri III Fuel,BOA1,BOA2,NOT CERTIFIED,"83,52",80,"81,22","88,03",Basic,Izin Prinsip
2026-02-20,2026-02-20,74-95305,VII,2026,Jl. Trans Sulawesi - Gorontalo  Desa Matani Kecamatan Tumpaan,Kab. Minahasa Sel,,SBM Sulutgo II Fuel,BOA1,CA,CERTIFIED,"96,66",93,"98,99","97,75",Basic,
2026-02-23,2026-02-20,14-228335,I,2026,"Jl. Saonigeho, Ps. Tlk. Dalam, Kec. Tlk. Dalam, Kabupaten Nias Selatan",Kab. Nias Selatan,,SBM Sibolga I,BOA1,BOA2,NOT CERTIFIED,"42,47","52,33","33,98","40,56",Basic,"Pelumas, APAB, Masa Berlaku APAR, Grounding, Produk JBU, Izin Prinsip, APAR"
2026-02-24,2026-02-20,54-80128,V,2026,"JL. SUWUNG BATAN KENDAL, Kodya Denpasar",Kodya Denpasar,,SBM Bali I Fuel,BOA1,BOA2,NOT CERTIFIED,"86,97",79,"95,21","86,67",Basic,APAR
2026-02-23,2026-02-19,14-228352,I,2026,"JL.DIPONEGORO KM. 1,5 KOTA GUNUNG S, G.Sitoli",Kab. Nias Barat,,SBM Sibolga I,BOA1,BOA2,NOT CERTIFIED,"53,19","64,67","36,42","56,6",Basic,"Izin Prinsip, Produk JBU, Pelumas, APAR, APAB, Masa Berlaku APAR"
2026-02-19,2026-02-19,34-15141,III,2026,"Jl. Dr. Ciptomangunkusumo (Jl. H. Mencong), Ciledug",Kota Tangerang,DODO,SBM Banten I Fuel,BOA1,CA,CERTIFIED,"92,39","83,33","98,94","94,12",Basic,
2026-02-21,2026-02-19,34-16824,III,2026,"Jalan Raya Jonggol – Dayeuh, Kp. Barongkang RT 01 RW 01 Desa Sukasirna, Kecamatan Jonggol, Kabupaten Bogor",Kabupaten Bogor,,SBM Jabode V Fuel,BOA1,BOA2,NOT CERTIFIED,"60,02","62,33","36,45","76,02",Basic,"Masa Berlaku APAR, Grounding, Izin Prinsip, Nol"
2026-02-20,2026-02-19,74-95706,VII,2026,"Desa Tadoy , Kab. Bolmong",Kab. Bolmong Induk,,SBM Sulutgo II Fuel,BOA1,BOA2,NOT CERTIFIED,"78,03","76,33","92,11","68,18",Basic,"Pelumas, Masa Berlaku APAR, Izin Prinsip, Produk JBU"
