send_date,Audit Date,spbu_no,region,year,address,city_name,tipe_spbu,rayon,audit_level,audit_next,good_status,excellent_status,Total Score,SSS,EQnQ,RFS,VFC,EPO,kelas_spbu,penalty_good_alerts,penalty_excellent_alerts
2025-11-04,2025-11-03,64-74301,VI,2025,"Jl. Pelita, Sampit",Kab KotawaringinTim,DODO,SBM Kalteng II Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,91.21,93.33,100.00,94.60,95.00,47.93,Pasti Pas Good,,NFR
2025-11-03,2025-11-03,74-92119,VII,2025,Jl. Poros Gowa-Takalar,Kab Gowa,,SBM Sulselbar I Fuel,TAGE2,TAGE3,CERTIFIED,NOT CERTIFIED,94.25,96.67,100.00,93.09,97.00,69.36,Pasti Pas Good,,Jalur Fast Track
2025-11-03,2025-11-03,44-57713,IV,2025,"Jl. Raya Palur - Karanganyar, Dagen",Kab Karanganyar,DODO,SBM Yogyakarta IV Fuel,DAE,DAE,CERTIFIED,CERTIFIED,92.71,92.67,100.00,90.70,99.00,68.70,Pasti Pas Excellent,,
2025-11-04,2025-11-03,34-15513,III,2025,Kp Tanah Merah Ds jati Mulya,Kab Tangerang,DODO,SBM Banten I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,85.41,85.33,94.96,89.56,82.00,52.18,Pasti Pas Good,,"NFR, Jalur Fast Track"
2025-11-03,2025-11-03,34-41126,III,2010,Jl. Basuki Rahmat,Kab Purwakarta,DODO,SBM Karawang III Fuel,DAE,DAE,CERTIFIED,CERTIFIED,90.57,86.67,99.09,93.60,96.50,64.78,Pasti Pas Excellent,,
2025-11-03,2025-11-03,44-57104,IV,2025,JL.DR RAJIMAN NO 668 KEL.PAJANG KEC. LAWEYAN SURAKARTA ,Kota Surakarta,DODO,SBM Yogyakarta III Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,92.4,96.67,100.00,92.06,95.00,54.80,Pasti Pas Good,,"Jalur Fast Track, NFR"
2025-11-04,2025-11-03,44-50610,IV,2025,Jl. Lingkar Ambarawa Km 4.4,Kab Semarang,DODO,SBM Semarang I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,82.89,85.00,90.75,90.66,77.00,43.30,Pasti Pas Good,,"NFR, Jalur Fast Track"
2025-11-03,2025-11-03,21-34121,II,2025,"Jl. Toll Sumatera Kayu Agung-Terbanggi KM 172 B, Lampung Tengah",Kab Lampung Tengah,COCO,SBM Lampung II Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,87.3,88.33,99.09,89.25,87.00,45.16,Pasti Pas Good,,NFR
2025-11-03,2025-11-03,64-75130,VI,2025,"Jl. KH. Harun Nafsi, Kec. Samarinda Seberang",Kota Samarinda,DODO,SBM Kaltimut II Fuel,DAGE,DAE,CERTIFIED,CERTIFIED,91.96,86.33,100.00,96.75,95.00,71.96,Pasti Pas Excellent,,
2025-11-03,2025-11-03,54-80810,V,2025,jl. Ds ababi karangasem,Kab Karangasem,DODO,SBM Bali III Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,89.55,91.33,100.00,91.20,89.00,49.93,Pasti Pas Good,,"Jalur Fast Track, NFR"
2025-11-05,2025-11-03,34-13907,III,2025,Jl. Sentra Primer Pulogebang Cakung,Kota Jakarta Timur,DODO,SBM Jabode I Fuel,DAE,DAE,CERTIFIED,CERTIFIED,91.97,90.00,100.00,94.00,100.00,61.73,Pasti Pas Excellent,,
2025-11-03,2025-11-03,54-61133,V,2025,Jl.Raya Krikilan No.400 Kec.Driyorejo,Kab Gresik,,SBM Surabaya III Fuel,DAGE,TAGE1,NOT CERTIFIED,NOT CERTIFIED,81.71,66.00,98.47,90.15,93.50,49.86,Pasti Pas Good,,"NFR, Jalur Fast Track"
2025-11-03,2025-11-03,44-53111,IV,2025,"Jl. Desa Margasana, Kec. Jatilawang",Kab Banyumas,DODO,SBM Tegal III Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,93.88,96.67,100.00,94.70,98.00,61.40,Pasti Pas Good,,"NFR, Jalur Fast Track"
2025-11-04,2025-11-03,34-15115,III,2025,"Jl. Dr. Sitanala ds, Karangsari",Kota Tangerang,DODO,SBM Banten I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,88.18,86.00,99.04,85.35,97.00,58.93,Pasti Pas Good,,"Jalur Fast Track, NFR"
2025-11-03,2025-11-03,64-79116,VI,2025,Jl Raya Pasir panjang,Kota Singkawang,,SBM Kalbar I Fuel,DAE,DAE,CERTIFIED,CERTIFIED,92,87.33,100.00,93.31,100.00,71.23,Pasti Pas Excellent,,
2025-11-04,2025-11-03,34-45149,III,2025,Jl. Diponegoro No.35,Kota Cirebon,DODO,SBM Cirebon I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,85.79,83.33,100.00,88.09,83.00,48.80,Pasti Pas Good,,"NFR, Jalur Fast Track"
2025-11-03,2025-11-03,74-93303,VII,2025,Jl Poros Bombana-Kendari,Kab Konawe Selatan,DODO,SBM Sultra II Fuel,DAG1,DAG2,CERTIFIED,NOT CERTIFIED,88.08,92.33,95.96,88.70,92.00,46.50,Pasti Pas Good,,"Jalur Fast Track, NFR"
2025-11-03,2025-11-03,74-94109,VII,2025,Jl. Yos Sudarso Talise Palu,Kota Palu,DODO,SBM Sulteng I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,89.94,93.33,100.00,91.31,91.00,45.71,Pasti Pas Good,,"NFR, Jalur Fast Track"
2025-11-04,2025-11-03,44-50224,IV,2025,Jl. Raya Gunung Pati - Boja,Kota Semarang,DODO,SBM Semarang I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,85.6,80.00,100.00,87.35,82.00,58.93,Pasti Pas Good,,"Jalur Fast Track, NFR"
2025-11-03,2025-11-03,34-15709,III,2025,Jl. Cisoka Desa Cengkudu,Kab Tangerang,DODO,SBM Banten I Fuel,TAG3,DAG1,CERTIFIED,NOT CERTIFIED,89.48,86.00,100.00,96.30,100.00,44.23,Pasti Pas Good,,NFR
