send_date,Audit Date,spbu_no,region,year,address,city_name,tipe_spbu,rayon,audit_level,audit_next,good_status,excellent_status,Total Score,SSS,EQnQ,RFS,VFC,EPO,kelas_spbu,penalty_good_alerts
2026-04-08,2026-04-07,63-701003,VI,2026,JL. VETERAN,KOTA BANJARMASIN,CODO,SBM Kalsel I Fuel,TAG2,TAG3,CERTIFIED,NOT CERTIFIED,"85,52","80,67",100,"87,44",90,"48,08",Pasti Pas Good,
2026-04-23,2026-04-23,64-70101,VI,2026,Jl. Sutoyo S Banjarmasin,Kota Banjarmasin,,SBM Kalsel I Fuel,Re-CAE2,Re-CAE3,NOT CERTIFIED,NOT CERTIFIED,"71,82","66,67","90,92","65,52","90,5","26,63",Basic,"Masa Berlaku APAR, Izin Prinsip, PELUMAS"
2026-04-06,2026-04-02,64-70104,VI,2026,Jl. Jendral Sudirman No.1 Banjarmasin,Kota Banjarmasin,DODO,SBM Kalsel I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,"87,39","85,33",100,"89,19",88,"51,33",Pasti Pas Good,
2026-04-02,2026-04-01,64-70109,VI,2026,Jl. KH. Hasan Basri kav. 73-74,Kota Banjarmasin,DODO,SBM Kalsel I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,"89,85","86,67",100,"91,6",97,"58,3",Pasti Pas Good,
2026-04-06,2026-04-02,64-70202,VI,2026,"Jl. Ahmad Yani km 6,00, Banjarmasin, Kalimantan Selatan",Kota Banjarmasin,DODO,SBM Kalsel I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,"89,85","86,67",100,"90,6",99,"58,3",Pasti Pas Good,
2026-04-02,2026-04-01,64-705007,VI,2026,"Jl. Brigjen Hasan Basri, Rantau Badauh",Kab Barito Kuala,DODO,SBM Kalsel I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,"84,87","80,33","96,17","88,45",92,"50,13",Pasti Pas Good,
2026-04-21,2026-04-21,64-70601,VI,2026,"Jl. Ahmad Yani KM 37 Sei Paring, Kalsel",Kab Banjar,DODO,SBM Kalsel I Fuel,TAGE1,TAGE2,CERTIFIED,NOT CERTIFIED,"84,92","80,33",100,"85,58","89,5","47,45",Pasti Pas Good,
2026-04-17,2026-04-17,64-70605,VI,2026,"JL. A. YANI KM.16,5, KAB. BANJAR",KAB. BANJAR,DODO,SBM Kalsel I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,"86,72","81,33",100,87,92,"57,18",Pasti Pas Good,
2026-04-07,2026-04-04,64-70607,VI,2026,Jl. Ahmad Yani KM. 24 Landasan Ulin,Kota Banjarbaru,DODO,SBM Kalsel I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,"89,61","90,67",100,"85,25",93,"60,6",Pasti Pas Good,
2026-04-19,2026-04-18,64-70609,VI,2026,"Jl. A. Yani KM 74, Simpang Empat",Kab Banjar,DODO,SBM Kalsel I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,"83,95",81,100,"85,6",87,"38,28",Pasti Pas Good,
2026-04-07,2026-04-04,64-707009,VI,2026,"JL. PONDOK EMPAT, KEL. LOKTABAT UTARA, KEC. BANJARBARU UTARA, KOTA BANJARBARU - KALSEL",Kota Banjarbaru,DODO,SBM Kalsel I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,"90,84","89,33",100,"91,66",97,60,Pasti Pas Good,
2026-04-07,2026-04-06,64-70706,VI,2026,"Jl. Ahmad yani KM 21,7, Jurusan Pelaihari, Liang Anggang, Banjarbaru, Kalsel",Kota Banjarbaru,DODO,SBM Kalsel I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,"88,42","86,67",100,"85,85",97,"55,48",Pasti Pas Good,
2026-04-17,2026-04-17,64-70708,VI,2026,Jl. Trikora Landasan Ulin,Kota Banjarbaru,DODO,SBM Kalsel I Fuel,TAGE2,TAGE3,CERTIFIED,NOT CERTIFIED,"86,06",82,100,87,93,"47,48",Pasti Pas Good,
2026-04-07,2026-04-06,64-70710,VI,2026,Jln. Ahmad yani km. 18.2 liang Anggang landasan ulin,Kota Banjarbaru,DODO,SBM Kalsel I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,"87,86","85,33",100,"91,4",94,"45,8",Pasti Pas Good,
2026-04-23,2026-04-22,64-70802,VI,2026,"Jl  Simpang tiga angsau, pelaihari",Kab Tanah Laut,DODO,SBM Kalsel I Fuel,Re-CAE3,BOA1,NOT CERTIFIED,NOT CERTIFIED,"81,54","81,67","91,29","79,47",82,"55,22",Basic,
2026-04-20,2026-04-20,64-70804,VI,2026,"Jl. A. Yani Km. 122, Desa Asam-asam, Jorong",Kab Tanah Laut,DODO,SBM Kalsel I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,"88,5","87,67",100,"89,95",92,"50,13",Pasti Pas Good,
2026-04-20,2026-04-20,64-70808,VI,2026,"Jl. Ahmad Yani km 99, kec. Jorong, Kab. Tanah Laut, Kalimantan Selatan",Kab Tanah Laut,,SBM Kalsel I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,"86,97","84,33",100,"88,3",99,"41,05",Pasti Pas Good,
2026-04-09,2026-04-09,64-711006,VI,2026,"Jl. Jend. Sedirman Desa Bungur, Kab. Tapin",Kab. Tapin,DODO,SBM Kalsel II Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,"90,56","87,67",100,"90,73",99,62,Pasti Pas Good,
2026-04-09,2026-04-08,64-71103,VI,2026,"Jl. A. Yani KM. 94, Pulau Pinang",Kab Tapin,DODO,SBM Kalsel II Fuel,DAE,DAE,CERTIFIED,CERTIFIED,"91,67","90,67",100,"90,95",87,"75,8",Pasti Pas Excellent,
2026-04-13,2026-04-10,64-71301,VI,2026,"Ds. Sei Rangas, Barabai",Kab Hulu Sungai Teng,DODO,SBM Kalsel II Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,"88,88","89,33",100,"88,95",92,"50,9",Pasti Pas Good,
2026-04-13,2026-04-10,64-71303,VI,2026,"Jl. A. Yani KM 152, Haruyan",Kab Hulu Sungai Teng,,SBM Kalsel II Fuel,CA,TAG1,CERTIFIED,NOT CERTIFIED,"87,49","86,22",100,"87,5",92,"50,8",Pasti Pas Good,
2026-04-14,2026-04-11,64-71306,VI,2026,"Jalan Ahmad Yani KM, Durian Gantang, Kec. Labuan Amas Selatan",Kab Hulu Sungai Teng,DODO,SBM Kalsel II Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,"88,47","86,67",100,"90,88",92,"50,8",Pasti Pas Good,
2026-04-13,2026-04-11,64-71405,VI,2026,"Jl. A. Yani KM 196,Â  Batu Mandi",Kab Balangan,,SBM Kalsel II Fuel,CA,TAG1,CERTIFIED,NOT CERTIFIED,"87,65","86,22",100,"87,03",97,48,Pasti Pas Good,
