send_date,Audit Date,spbu_no,region,year,address,city_name,tipe_spbu,rayon,audit_level,audit_next,good_status,excellent_status,Total Score,SSS,EQnQ,RFS,VFC,EPO,kelas_spbu,penalty_good_alerts,penalty_excellent_alerts
2025-05-29,2025-05-27,24-345107,II,2025,Jl. Lintas Timur Menggala,Kab Tulang Bawang,DODO,SBM Lampung II Fuel,TAGE3,DAGE,CERTIFIED,NOT CERTIFIED,83.82,84.00,100.00,85.15,73.00,42.66,Pasti Pas Good,,"NFR, Jalur Fast Track"
2025-05-28,2025-05-27,31-11601,III,2025,Jl. Meruya Ilir,Kota Jakarta Barat,COCO,SBM Jabode II Fuel,DAE,DAE,CERTIFIED,CERTIFIED,99.47,100.00,100.00,100.00,100.00,94.70,Pasti Pas Excellent,,
2025-05-28,2025-05-27,34-15139,III,2025,Jl. KH Hasyim Ashari Pinang Raya Narogong,Kota Tangerang,DODO,SBM Banten I Fuel,CA,Re-CA1,NOT CERTIFIED,NOT CERTIFIED,61.01,63.44,63.48,53.65,87.50,35.21,Basic,"Salam, Grounding, Izin Prinsip","Produk JBU, Salam, Grounding, Rompi Khusus, NFR, Izin Prinsip, Jalur Fast Track"
2025-05-29,2025-05-27,54-81115,V,2025,Jl. Ahmad Yani Singaraja,Kab Buleleng,O85238068995,SBM Bali III Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,93.13,96.67,100.00,97.85,100.00,45.56,Pasti Pas Good,,"NFR, Produk JBU"
2025-05-28,2025-05-27,34-41311,III,2025,"Jl. Jend Sudirman, Kec. Kota Baru",Kab Karawang,DODO,SBM Karawang II Fuel,TAGE1,TAGE2,CERTIFIED,NOT CERTIFIED,95.02,98.00,100.00,98.10,100.00,60.46,Pasti Pas Good,,NFR
2025-05-28,2025-05-27,54-64413,V,2009," Mlorah Satu, Mlorah, Kec. Rejoso, Kab. Nganjuk",Kab Nganjuk,DODO,SBM Kediri I Fuel,Re-CA1,Re-CA2,NOT CERTIFIED,NOT CERTIFIED,81.5,83.44,93.98,78.06,94.00,33.50,Basic,Izin Prinsip,"Jalur Fast Track, NFR, Produk JBU, Izin Prinsip"
2025-05-29,2025-05-27,44-52214,IV,2025,Jl. Karangbale Larangan,Kab Brebes,DODO,SBM Tegal I Fuel,Re-CAE1,TAGE1,CERTIFIED,NOT CERTIFIED,92.73,98.33,100.00,100.00,95.00,37.33,Pasti Pas Good,,"NFR, Produk JBU"
2025-05-28,2025-05-27,54-61106,V,2025,Ds. Dahanrejo Kebomas,Kab Gresik,DODO,SBM Surabaya III Fuel,DAE,DAE,CERTIFIED,CERTIFIED,93.99,90.33,100.00,95.18,100.00,78.40,Pasti Pas Excellent,,
2025-05-29,2025-05-27,44-59314,IV,2025,Jl. Raya Kudus Solo,Kab Kudus,DODO,SBM Semarang III Fuel,TAGE3,DAGE,CERTIFIED,NOT CERTIFIED,95.83,100.00,100.00,99.00,100.00,60.31,Pasti Pas Good,,"Produk JBU, NFR"
2025-05-29,2025-05-27,74-95331,VII,2025,Desa Kolongan Kec. Kalawat Kab. Minahasa Utara,Kab Minahasa Utara,DODO,SBM Sulutgo I Fuel,TAGE3,DAGE,CERTIFIED,NOT CERTIFIED,88.3,89.00,99.04,88.30,96.00,46.24,Pasti Pas Good,,"Jalur Fast Track, Produk JBU, NFR"
2025-05-28,2025-05-27,54-61409,V,2010,"Desa Jatipelem, kec. Diwek, Jombang",Kabupaten Jombang,DODO,SBM Surabaya II Fuel,CA,Re-CA1,NOT CERTIFIED,NOT CERTIFIED,64.02,58.33,64.40,84.06,75.50,32.95,Basic,"Izin Prinsip, Masa Berlaku APAR","Izin Prinsip, Rompi Khusus, Produk JBU, Masa Berlaku APAR, Jalur Fast Track, NFR"
