send_date,Audit Date,spbu_no,region,year,address,city_name,tipe_spbu,rayon,audit_level,audit_next,good_status,excellent_status,Total Score,SSS,EQnQ,RFS,VFC,EPO,kelas_spbu,penalty_good_alerts,penalty_excellent_alerts
2025-06-25,2025-06-13,34-40253,III,2025,Jl. Soekarno Hatta No. 491,Kota Bandung,DODO,SBM Bandung I Fuel,TAGE2,TAGE3,CERTIFIED,NOT CERTIFIED,88.62,91.67,100.00,89.75,93.50,38.16,Pasti Pas Good,,"Jalur Fast Track, NFR, Produk JBU"
2025-06-15,2025-06-13,54-80701,V,2025,Jl. I Gusti Ngurah Rai,Kab Klungkung,,SBM Bali I Fuel,TAGE1,TAGE2,CERTIFIED,NOT CERTIFIED,87.57,87.89,100.00,89.62,91.50,42.11,Pasti Pas Good,,"NFR, Produk JBU"
2025-06-19,2025-06-13,34-46203,III,2025,Jl Jend Sudirman No 239. Sindangrasa Ciamis,Kab. Ciamis,DODO,SBM Bandung IV Fuel,Re-CAE1,Re-CAE2,NOT CERTIFIED,NOT CERTIFIED,74.66,85.00,63.58,82.50,94.00,40.73,Basic,,"Jalur Fast Track, NFR"
2025-06-27,2025-06-13,74-96206,VII,2025,"Desa Wonosari, Kabupaten Boalemo",Kab Boalemo,DODO,SBM Sulutgo III Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,92.96,95.67,100.00,97.35,98.00,49.90,Pasti Pas Good,,NFR
2025-07-16,2025-06-13,54-61248,V,2025,Jl. Toll Gempol Sidoarjo,Kab Sidoarjo,DODO,SBM Surabaya II Fuel,DAG3,DAE,CERTIFIED,CERTIFIED,94.73,98.67,96.52,87.04,100.00,87.70,Pasti Pas Excellent,,
2025-06-29,2025-06-13,54-68418,V,2025,Jl. Raya Mangir Rogojampi,Kab Banyuwangi,DODO,SBM Malang III Fuel,DAGE,DAE,CERTIFIED,CERTIFIED,94.38,97.33,100.00,94.11,100.00,63.56,Pasti Pas Excellent,,
2025-06-25,2025-06-13,34-43106,III,2025,JL Raya Cimangkok,Kab Sukabumi,DODO,SBM Sukabumi I Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,83.2,80.67,87.59,90.15,90.00,56.80,Pasti Pas Good,,"Jalur Fast Track, Produk JBU, NFR"
2025-06-23,2025-06-13,31-13902,III,2025,Jl. Raya Pulo Gadung Jakarta Timur,Kota Jakarta Timur,COCO,SBM Jabode I Fuel,DAE,DAE,CERTIFIED,CERTIFIED,93.94,85.33,100.00,96.10,100.00,91.20,Pasti Pas Excellent,,
2025-07-18,2025-06-13,34-40343,III,2025,JL. RAYA LEMBANG,Kab Bandung Barat,Budi,SBM Bandung II Fuel,DAGE,DAGE,CERTIFIED,NOT CERTIFIED,88.72,89.67,96.17,87.06,98.00,57.60,Pasti Pas Good,,"NFR, Jalur Fast Track"
2025-06-23,2025-06-13,64-79101,VI,2025,JL. RAYA ROBAN-SINGKAWANG,Kota Singkawang,,SBM Kalbar I Fuel,DAG1,DAG2,CERTIFIED,NOT CERTIFIED,89.84,92.67,97.51,91.45,96.00,48.96,Pasti Pas Good,,"NFR, Jalur Fast Track"
